accR:,accP:,gyroR:,gyroP:,gyroY:,cfroll:,cfpitch:
-0.010934, -0.018019,0.027311, -0.005862, 0.006128, -0.009249, -0.004703
-0.010473, -0.015641,0.029843, -0.005729, 0.008393, -0.009296, -0.004804
-0.013189, -0.012651,0.030509, -0.003464, 0.005995, -0.009387, -0.004842
-0.015615, -0.010456,0.026912, -0.007061, 0.008393, -0.009540, -0.004849
-0.009076, -0.013072,0.029843, -0.004396, 0.007194, -0.009548, -0.004896
-0.014832, -0.009618,0.032108, -0.003997, 0.006661, -0.009669, -0.004865
-0.009930, -0.005971,0.032507, -0.006528, 0.007727, -0.009700, -0.004759
-0.004052, -0.010399,0.031841, -0.005729, 0.004796, -0.009609, -0.004747
-0.017298, -0.007937,0.030909, -0.004396, 0.009459, -0.009780, -0.004690
-0.016112, -0.008293,0.031974, -0.004396, 0.008793, -0.009924, -0.004637
-0.011592, -0.008376,0.033040, -0.005329, 0.008127, -0.009978, -0.004582
-0.006731, -0.011106,0.031841, -0.004663, 0.009059, -0.009932, -0.004588
-0.010269, -0.011629,0.032374, -0.007994, 0.007594, -0.009970, -0.004602
-0.007835, -0.015201,0.031442, -0.003864, 0.007727, -0.009942, -0.004690
-0.006600, -0.017214,0.033040, -0.003864, 0.009726, -0.009891, -0.004811
-0.006728, -0.002355,0.032374, -0.005729, 0.010258, -0.009850, -0.004635
-0.011701, -0.005817,0.031841, -0.006395, 0.006262, -0.009912, -0.004534
-0.005235, -0.008159,0.031042, -0.005462, 0.010525, -0.009840, -0.004485
-0.011604, -0.012147,0.030509, -0.006661, 0.008926, -0.009901, -0.004518
-0.009485, -0.010772,0.032241, -0.005462, 0.006395, -0.009914, -0.004517
-0.007732, -0.011733,0.029576, -0.001998, 0.009193, -0.009878, -0.004546
-0.009545, -0.014721,0.029576, -0.006928, 0.007994, -0.009899, -0.004633
-0.011519, -0.008623,0.032374, -0.008660, 0.007194, -0.009965, -0.004586
-0.010966, -0.013065,0.030242, -0.004396, 0.008793, -0.010002, -0.004637
-0.012806, -0.007684,0.035039, -0.004929, 0.006528, -0.010078, -0.004561
