accR,accP,gyroR,gyroP,gyroY,cfroll,cfpitch
-0.011335, -0.013168,0.023448, -0.005729, 0.016787, -0.007912, -0.003537
-0.008853, -0.002996,0.020783, -0.008393, 0.015987, -0.007964, -0.003445
-0.012385, -0.006193,0.020117, -0.006128, 0.018652, -0.008076, -0.003421
-0.009191, -0.008718,0.024647, -0.009326, 0.013323, -0.008135, -0.003430
-0.011317, -0.008945,0.022915, -0.004263, 0.017453, -0.008215, -0.003450
-0.015179, -0.010436,0.021050, -0.004263, 0.015321, -0.008371, -0.003508
-0.009602, -0.011766,0.021716, -0.010791, 0.015987, -0.008438, -0.003588
-0.012459, -0.006230,0.021982, -0.004663, 0.015321, -0.008537, -0.003554
-0.014016, -0.009277,0.023981, -0.007327, 0.015987, -0.008675, -0.003575
-0.009186, -0.007971,0.020783, -0.004263, 0.016787, -0.008702, -0.003581
-0.002103, -0.006648,0.022116, -0.009592, 0.015588, -0.008608, -0.003556
-0.009916, -0.006004,0.018252, -0.007061, 0.014522, -0.008662, -0.003533
-0.012780, -0.005331,0.020384, -0.009992, 0.017053, -0.008783, -0.003489
-0.006660, -0.008477,0.021450, -0.007327, 0.014655, -0.008769, -0.003505
-0.011660, -0.010784,0.022782, -0.005462, 0.017053, -0.008849, -0.003561
-0.008019, -0.005997,0.023048, -0.006795, 0.015588, -0.008859, -0.003520
-0.010069, -0.012285,0.020917, -0.009992, 0.014921, -0.008922, -0.003613
-0.006689, -0.008108,0.020917, -0.004130, 0.016387, -0.008894, -0.003621
-0.003479, -0.008799,0.020917, -0.007194, 0.013856, -0.008813, -0.003642
-0.007506, -0.006221,0.023981, -0.008127, 0.015321, -0.008819, -0.003600
-0.009216, -0.010639,0.021583, -0.004263, 0.013856, -0.008844, -0.003656
-0.007478, -0.013069,0.023448, -0.004396, 0.016254, -0.008834, -0.003753
-0.008523, -0.009194,0.021849, -0.006661, 0.015987, -0.008854, -0.003776
-0.007833, -0.002431,0.021849, -0.004530, 0.016387, -0.008851, -0.003663
-0.005930, -0.000876,0.022649, -0.006661, 0.014255, -0.008819, -0.003519
-0.009946, -0.006428,0.023714, -0.007461, 0.016920, -0.008870, -0.003484
-0.008713, -0.006769,0.023448, -0.008660, 0.014921, -0.008901, -0.003458
-0.004817, -0.004342,0.025713, -0.005462, 0.019185, -0.008841, -0.003375
-0.011762, -0.013597,0.023448, -0.005995, 0.014255, -0.008923, -0.003487
-0.011917, -0.008329,0.024380, -0.004263, 0.018519, -0.008999, -0.003488
-0.006939, -0.009524,0.024114, -0.005329, 0.015987, -0.008979, -0.003515
-0.008524, -0.012615,0.021183, -0.007327, 0.016787, -0.008999, -0.003614
-0.006348, -0.013843,0.022116, -0.007727, 0.012523, -0.008976, -0.003731
-0.009154, -0.012116,0.022649, -0.008660, 0.017319, -0.009014, -0.003810
-0.007303, -0.009129,0.021183, -0.005462, 0.014788, -0.009001, -0.003834
-0.009620, -0.004539,0.021050, -0.007594, 0.015588, -0.009043, -0.003765
-0.010285, -0.002218,0.023048, -0.009059, 0.015987, -0.009103, -0.003644
-0.012382, -0.009219,0.022915, -0.007327, 0.014921, -0.009198, -0.003666
-0.009973, -0.006445,0.022116, -0.007061, 0.015721, -0.009241, -0.003635
